ID,Date,Address,City,State,Zip,Num of Units,Comments,Completion Status,Units Category,High Unit Count,Long,Lat
201,41:05.5,702 Park Ave,South Pasadena,CA,91030,0,Entrance locked.,Denied Entry,,< 14 units,-118.1475985,34.11803305
202,42:05.7,1777 Grevelia St,South Pasadena,CA,91030,14,None,Verified,10+ units,14+ units,-118.1463828,34.1187499
203,14:25.2,1804 Foothill St,South Pasadena,CA,91030,0,None,Tentative,,< 14 units,-118.1461076,34.11981217
204,15:10.1,1806 Foothill St,South Pasadena,CA,91030,0,None,Tentative,,< 14 units,-118.1457923,34.11974503
205,22:09.0,1521 Huntington Dr ,South Pasadena,CA,91030,8,"Also with 1521, 1523, 1525, 1527, 1529, 1531, 1533, and 1535 Huntington Dr.",Verified,7-9 units,< 14 units,-118.1494404,34.1039055
206,10/13/2022 4:53,2064 Meridian Ave,South Pasadena,CA,91030,7,None,Verified,7-9 units,< 14 units,-118.1565929,34.09903796
207,10/13/2022 4:57,2075 Meridian Ave,South Pasadena,CA,91030,0,In progress.,Tentative,,< 14 units,-118.1569656,34.09887472
208,10/13/2022 5:03,2067 Meridian Ave,South Pasadena,CA,91030,8,None,Verified,7-9 units,< 14 units,-118.1569793,34.09915328
209,10/13/2022 5:05,2050 Meridian Ave ,South Pasadena,CA,91030,0,Entrance locked.,Denied Entry,,< 14 units,-118.1565646,34.09959051
210,10/13/2022 5:19,2038 Meridian Ave ,South Pasadena,CA,91030,8,None,Verified,7-9 units,< 14 units,-118.1565618,34.09989261
211,10/13/2022 5:42,2028 Meridian Ave ,South Pasadena,CA,91030,8,Also with 2030 Meridian Ave.,Verified,7-9 units,< 14 units,-118.156568,34.10016937
212,10/13/2022 5:44,2020 Meridian Ave ,South Pasadena,CA,91030,4,"Also with 2022, 2024, and 2026 Meridian Ave.",Verified,4-6 units,< 14 units,-118.156584,34.10038181
213,10/13/2022 5:50,1815 Meridian Ave ,South Pasadena,CA,91030,0,Entrance locked.,Denied Entry,,< 14 units,-118.1577232,34.10326974
214,10/13/2022 5:54,1805 Meridian Ave ,South Pasadena,CA,91030,0,Gate locked.,Denied Entry,,< 14 units,-118.1576783,34.10359854
215,10/13/2022 6:01,909 Summit Dr,South Pasadena,CA,91030,8,Also with 915 Summit Dr.,Verified,7-9 units,< 14 units,-118.1584284,34.10381169
216,10/13/2022 6:12,1712 Gillette Crst,South Pasadena,CA,91030,5,Also with 1714 Gillette Crst.,Verified,4-6 units,< 14 units,-118.1579763,34.10488335
217,10/13/2022 6:22,1716 Gillette Crst ,South Pasadena,CA,91030,3,Also with 1718 Gillette Crst.,Verified,1-3 units,< 14 units,-118.1581448,34.10485193
218,10/13/2022 6:30,1750 Gillette Crst ,South Pasadena,CA,91030,0,In progress.,Tentative,,< 14 units,-118.1591197,34.10407288
219,10/13/2022 6:40,1708 Meridian Ave,South Pasadena,CA,91030,12,Also with 1714 and 1718 Meridian Ave.,Verified,10+ units,< 14 units,-118.1569772,34.10489462
220,10/12/2022 10:47,1724 Meridian Ave,South Pasadena,CA,91030,0,In progress.,Tentative,,< 14 units,-118.156726,34.10437599
221,10/12/2022 10:57,1824 Gillette Crst,South Pasadena,CA,91030,3,None,Verified,1-3 units,< 14 units,-118.158507,34.102803
